,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
328,0.998125,1,0.994241843,0.997112608,0.9025,1,0.715328467,0.834042553
329,0.998125,1,0.994241843,0.997112608,0.8975,0.928571429,0.759124088,0.835341365
330,0.994375,0.998054475,0.984644914,0.991304348,0.8825,0.932692308,0.708029197,0.804979253
331,0.99625,1,0.988483685,0.994208494,0.89,0.942857143,0.722627737,0.818181818
332,0.995,0.998058252,0.986564299,0.992277992,0.89,0.934579439,0.729927007,0.819672131
333,0.994375,1,0.982725528,0.991287512,0.8875,0.910714286,0.744525547,0.819277108
334,0.995,1,0.984644914,0.992263056,0.89,0.96039604,0.708029197,0.81512605
335,0.996875,0.998069498,0.992322457,0.99518768,0.9075,0.938596491,0.781021898,0.852589641
336,0.99375,1,0.980806142,0.990310078,0.875,0.957894737,0.664233577,0.784482759
337,0.995625,0.998062016,0.988483685,0.993249759,0.9025,0.971153846,0.737226277,0.838174274
338,0.998125,1,0.994241843,0.997112608,0.9125,0.981132075,0.759124088,0.855967078
339,0.995,1,0.984644914,0.992263056,0.89,0.942857143,0.722627737,0.818181818
340,0.994375,1,0.982725528,0.991287512,0.8725,0.921568627,0.686131387,0.786610879
341,0.995,1,0.984644914,0.992263056,0.89,0.942857143,0.722627737,0.818181818
342,0.994375,1,0.982725528,0.991287512,0.8775,0.923076923,0.700729927,0.796680498
343,0.9975,1,0.992322457,0.996146435,0.905,0.945945946,0.766423358,0.846774194
344,0.995625,1,0.986564299,0.993236715,0.8925,0.979591837,0.700729927,0.817021277
345,0.99625,1,0.988483685,0.994208494,0.895,0.943925234,0.737226277,0.827868852
346,0.99375,1,0.980806142,0.990310078,0.89,0.942857143,0.722627737,0.818181818
347,0.99375,1,0.980806142,0.990310078,0.88,0.958762887,0.678832117,0.794871795
348,0.991875,1,0.975047985,0.987366375,0.8825,0.941176471,0.700729927,0.80334728
349,0.9975,0.998073218,0.994241843,0.996153846,0.9,0.953271028,0.744525547,0.836065574
350,0.994375,1,0.982725528,0.991287512,0.8975,0.944444444,0.744525547,0.832653061
351,0.995625,1,0.986564299,0.993236715,0.8925,0.943396226,0.729927007,0.823045267
352,0.995,1,0.984644914,0.992263056,0.88,0.908256881,0.722627737,0.804878049
353,0.999375,1,0.998080614,0.999039385,0.9075,0.962962963,0.759124088,0.848979592
354,0.995625,1,0.986564299,0.993236715,0.8975,0.944444444,0.744525547,0.832653061
355,0.996875,1,0.990403071,0.995178399,0.8875,0.96,0.700729927,0.810126582
356,0.995625,0.998062016,0.988483685,0.993249759,0.8875,0.933962264,0.722627737,0.814814815
357,0.99375,1,0.980806142,0.990310078,0.885,0.978947368,0.678832117,0.801724138
358,0.991875,1,0.975047985,0.987366375,0.8875,0.96,0.700729927,0.810126582
359,0.9925,1,0.97696737,0.988349515,0.875,0.939393939,0.678832117,0.788135593
