,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
728,0.986324824,0.981172997,0.75985504,0.622187056
729,0.986269354,0.981099035,0.759470453,0.621423416
730,0.986136227,0.980914223,0.759307744,0.619990659
731,0.986798167,0.9818389,0.760624214,0.622659547
732,0.986158415,0.980941664,0.759647955,0.622230488
733,0.986417274,0.981305129,0.758405443,0.618824243
734,0.986206488,0.981002923,0.759751498,0.621204347
735,0.986343314,0.981199505,0.76198506,0.625607855
736,0.986147321,0.980927069,0.76108276,0.623303326
737,0.986631758,0.98160633,0.757414392,0.618302844
738,0.986816657,0.981866273,0.758642112,0.617985157
739,0.986417274,0.981295037,0.759307744,0.620363026
740,0.986376596,0.981242363,0.761718808,0.624822414
741,0.98627675,0.981114215,0.760076917,0.622316397
742,0.98638769,0.98126708,0.758819614,0.620133728
743,0.98646165,0.981359755,0.759958583,0.620841121
744,0.986635456,0.981607581,0.759011907,0.621081031
745,0.985914347,0.9805983,0.758878781,0.621725106
746,0.986698321,0.981700151,0.759248576,0.620659115
747,0.986028985,0.980763747,0.761275054,0.623316606
748,0.986602174,0.981558118,0.759500037,0.621469979
749,0.986757489,0.981780254,0.75805044,0.619418786
750,0.986550402,0.981493072,0.760284003,0.622835599
751,0.98638769,0.981264411,0.759218993,0.621424252
752,0.986768583,0.981798203,0.759100658,0.621467088
753,0.986265656,0.981094619,0.76034317,0.622137227
754,0.986491234,0.981416195,0.75837586,0.619292889
755,0.986247166,0.981067143,0.76075734,0.623632894
756,0.986687228,0.981684423,0.759899416,0.621948947
757,0.986720509,0.981732907,0.760905258,0.624110506
758,0.986180603,0.980971827,0.760639006,0.623271407
759,0.986036381,0.980775888,0.759973375,0.621563003
760,0.986365502,0.981233681,0.759869832,0.621919978
761,0.986287844,0.981122085,0.758080024,0.619217248
762,0.986365502,0.981233681,0.759662747,0.621611551
763,0.986816657,0.98186572,0.762280896,0.626351398
764,0.98664655,0.981627617,0.759071075,0.620909556
765,0.98642467,0.981313406,0.761008801,0.624753234
766,0.986069663,0.980818095,0.758109607,0.618250578
767,0.986716811,0.981723264,0.761097552,0.624194337
768,0.986465348,0.981374425,0.759071075,0.619865571
769,0.986465348,0.981374046,0.761511723,0.624566306
770,0.985855179,0.980524737,0.760121293,0.622465371
771,0.986435764,0.981332193,0.759914208,0.621452061
772,0.986154717,0.980941715,0.75944087,0.621535454
773,0.985840387,0.980504768,0.759899416,0.621260908
774,0.986472744,0.981383466,0.759736706,0.621207528
775,0.986187999,0.980981623,0.761393388,0.623257118
776,0.98649863,0.981421076,0.761112344,0.624523389
777,0.98623977,0.981054647,0.76140818,0.625284579
778,0.986158415,0.980936811,0.758494194,0.620487669
779,0.98629524,0.981133228,0.759071075,0.62170197
780,0.986343314,0.981197591,0.762014644,0.625584697
781,0.986432066,0.981327769,0.760979218,0.624741646
782,0.986202791,0.98100586,0.759292952,0.620224509
783,0.986753791,0.981774146,0.759337327,0.621451838
784,0.986713113,0.981721059,0.758449819,0.61940055
785,0.98648014,0.981389477,0.759677539,0.620636514
786,0.986620664,0.981586287,0.760683381,0.623244766
787,0.986432066,0.981329099,0.760136085,0.622163195
788,0.986531912,0.981468478,0.76034317,0.622471805
789,0.986184301,0.980978178,0.759455662,0.621214945
790,0.986531912,0.981467912,0.762118187,0.626521133
791,0.986361804,0.981229451,0.757591894,0.618315633
