,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
275,0.986180603,0.980930268,0.755284372,0.61518422
276,0.986543006,0.981443425,0.757784188,0.620395484
277,0.986217582,0.980984403,0.756719178,0.617395957
278,0.986210186,0.980972839,0.756068338,0.615442017
279,0.986250864,0.981035644,0.756881887,0.618919546
280,0.986136227,0.980874498,0.754574366,0.61379824
281,0.986383992,0.981225397,0.756482509,0.61823157
282,0.986047475,0.980749509,0.756541676,0.617757031
283,0.986487536,0.98136798,0.757902522,0.620774346
284,0.986287844,0.9810853,0.75763627,0.6192103
285,0.986210186,0.980978081,0.755713335,0.616634555
286,0.986380294,0.981208896,0.757355225,0.617960781
287,0.986380294,0.981211197,0.756733969,0.618103288
288,0.98623977,0.98101947,0.756452925,0.616531197
289,0.986306334,0.981108974,0.757088973,0.618908382
290,0.986187999,0.980945141,0.757651061,0.618834915
291,0.986173207,0.980923177,0.755905628,0.616891861
292,0.986302636,0.981100691,0.756305007,0.616316169
293,0.986509724,0.981396108,0.75714814,0.619248609
294,0.986003099,0.980687889,0.757355225,0.61934376
295,0.986206488,0.980971524,0.75624584,0.61711471
296,0.986291542,0.981096476,0.756201464,0.617142857
297,0.985988307,0.980658598,0.756512092,0.616785008
298,0.986099247,0.980821526,0.756201464,0.616572838
299,0.986339616,0.981157483,0.758612529,0.621500638
300,0.986328522,0.981144585,0.75763627,0.618465479
301,0.98633222,0.981145551,0.756319799,0.617683917
302,0.986306334,0.981113214,0.760150876,0.623301196
303,0.986291542,0.981092426,0.759307744,0.621686971
304,0.986139925,0.980875014,0.754751867,0.615634273
305,0.986243468,0.9810237,0.757680645,0.620312428
306,0.986702019,0.981667839,0.75657126,0.617198949
307,0.986298938,0.981104748,0.756290215,0.617050948
308,0.986162113,0.980913811,0.759100658,0.622046879
309,0.986162113,0.980909722,0.757621478,0.619337453
310,0.986469046,0.981330013,0.755580209,0.615935292
311,0.986476442,0.981343645,0.755698543,0.617242178
312,0.98660957,0.98153672,0.755698543,0.617295393
313,0.986169509,0.980918562,0.757266474,0.618354342
314,0.986217582,0.980982268,0.755846461,0.616103824
315,0.986054871,0.980756179,0.759559204,0.623002528
316,0.98640618,0.981247577,0.757961689,0.619898255
317,0.986587382,0.981503486,0.754189779,0.614485222
318,0.986432066,0.981284336,0.754899786,0.614220525
319,0.986184301,0.980942665,0.755077287,0.616144288
320,0.986620664,0.981549665,0.758139191,0.620318124
321,0.986051173,0.980755691,0.756393758,0.616616617
322,0.986432066,0.981295404,0.757902522,0.61923927
323,0.986698321,0.981655727,0.755964796,0.615646259
324,0.985821897,0.980435581,0.757961689,0.619597815
325,0.986413576,0.981254911,0.755816877,0.616983759
326,0.986139925,0.980877941,0.756393758,0.617595839
327,0.986661342,0.981610168,0.756867096,0.617841947
328,0.986091851,0.980808777,0.754973745,0.614901778
329,0.986014193,0.980702309,0.757222099,0.61878992
330,0.98649863,0.981382613,0.757044597,0.619254039
331,0.986291542,0.98109204,0.757325642,0.619226663
332,0.986291542,0.981085673,0.755668959,0.615610165
333,0.986287844,0.981080667,0.757695437,0.619780424
334,0.986302636,0.98110609,0.755846461,0.61599665
335,0.986716811,0.981691218,0.757370017,0.618809695
336,0.986003099,0.980691632,0.75682272,0.618968155
337,0.986147321,0.98088717,0.757325642,0.618269812
338,0.986269354,0.981057186,0.757044597,0.618706038
339,0.986213884,0.980985995,0.757029805,0.619310281
340,0.986139925,0.980879502,0.755476666,0.616067074
341,0.986224978,0.981002749,0.757044597,0.617783259
342,0.986539308,0.981435391,0.756778345,0.617791311
343,0.986236072,0.981010398,0.75337623,0.611723062
344,0.985699864,0.980256608,0.757828563,0.619751022
345,0.986576288,0.981492623,0.755950004,0.6169704
346,0.98638769,0.981224273,0.755373123,0.615609892
347,0.986291542,0.981096476,0.756201464,0.617799833
348,0.986642852,0.981583456,0.754766659,0.615381046
349,0.986487536,0.98136722,0.758257525,0.619602914
350,0.986395086,0.981229688,0.759204201,0.622760874
351,0.986210186,0.980974393,0.758183566,0.61963704
352,0.986224978,0.980996546,0.757443976,0.618562456
353,0.98627675,0.981076078,0.755772502,0.615656789
